"","int_terms","int"
"1","DrivAge:BonusMalus",69.4528630433637
"2","BonusMalus:VehEnergy",42.2516012203113
"3","Gender:DrivAge",32.394791561407
"4","DrivAge:VehMaxSpeed",30.6679956370608
"5","VehAge:DrivAge",28.6460023826211
"6","LicAge:DrivAge",23.8802195888035
"7","VehUsage:VehClass",22.1205251632716
"8","DrivAge:VehClass",19.8250534142124
"9","VehAge:BonusMalus",18.4839418108592
"10","LicAge:VehMaxSpeed",15.1414114515403
"11","MariStat:DrivAge",14.7084640086383
"12","LicAge:Gender",14.5937560424652
"13","VehClass:Garage",14.3661191484306
"14","Gender:VehClass",13.907572463628
"15","LicAge:VehAge",13.3652124842256
"16","Gender:VehMaxSpeed",13.0512912504764
"17","VehAge:VehMaxSpeed",12.6854698684099
"18","VehUsage:VehBody",11.0866352652679
"19","BonusMalus:VehClass",10.890564622607
"20","VehUsage:Garage",10.8060872943464
"21","VehAge:Gender",10.6106125795557
"22","DrivAge:VehEnergy",10.1603848472259
"23","VehMaxSpeed:VehClass",9.64665147850844
"24","LicAge:BonusMalus",9.44775393792591
"25","VehUsage:DrivAge",9.22230600884177
"26","VehAge:VehBody",9.0163691627546
"27","VehBody:VehEngine",8.51440031073086
"28","VehEnergy:VehMaxSpeed",8.47051498662123
"29","DrivAge:VehBody",8.46834052027076
"30","Gender:MariStat",8.17719115094098
"31","BonusMalus:VehMaxSpeed",7.75035254166905
"32","VehBody:VehMaxSpeed",7.62640185547809
"33","DrivAge:VehPriceGrp",7.38895639401169
"34","MariStat:VehBody",7.25909938589488
"35","DrivAge:Garage",7.17314492634687
"36","DrivAge:VehEngine",7.10199955521426
"37","VehUsage:BonusMalus",7.02651668942805
"38","BonusMalus:VehBody",6.79215204719689
"39","VehEnergy:VehClass",6.46873606123015
"40","VehUsage:VehMaxSpeed",6.35753339893727
"41","VehPriceGrp:VehEnergy",6.24874778610562
"42","DrivAge:HasKmLimit",6.20011269192031
"43","VehAge:VehClass",5.90910236019988
"44","VehPriceGrp:VehClass",5.85597054764459
"45","VehEngine:VehEnergy",5.42553619227454
"46","BonusMalus:VehPriceGrp",5.26288446259446
"47","VehAge:MariStat",5.19836783868861
"48","MariStat:BonusMalus",5.15052658481176
"49","Gender:VehUsage",5.08322466769029
"50","VehBody:Garage",5.02741514945482
"51","BonusMalus:Garage",5.02739396605574
"52","VehAge:VehUsage",5.00904479680075
"53","VehPriceGrp:VehEngine",4.9468943777568
"54","LicAge:MariStat",4.91215585927765
"55","MariStat:VehMaxSpeed",4.85586064707894
"56","LicAge:VehUsage",4.78013303388172
"57","LicAge:VehEnergy",4.66848865574316
"58","MariStat:Garage",4.4737435854923
"59","VehPriceGrp:VehMaxSpeed",4.16918930661724
"60","Gender:VehEngine",3.82999573163806
"61","Gender:VehPriceGrp",3.80208297907896
"62","VehUsage:VehPriceGrp",3.7703747644893
"63","VehAge:VehPriceGrp",3.76712738875912
"64","VehUsage:VehEngine",3.59484296641666
"65","HasKmLimit:VehEnergy",3.51439611152182
"66","MariStat:VehEnergy",3.12888911665491
"67","LicAge:HasKmLimit",3.12164277245535
"68","MariStat:VehUsage",3.0161022553335
"69","VehBody:VehPriceGrp",2.92650552067902
"70","BonusMalus:VehEngine",2.86075146774797
"71","VehAge:VehEnergy",2.84159300491871
"72","VehEngine:VehClass",2.83098064278938
"73","LicAge:VehClass",2.66444995019393
"74","Gender:VehBody",2.61141442247573
"75","VehBody:VehEnergy",2.44798126606424
"76","VehEngine:VehMaxSpeed",2.37339943510465
"77","LicAge:VehBody",2.35990304335605
"78","VehUsage:VehEnergy",2.28589763483213
"79","VehUsage:HasKmLimit",2.09770664408785
"80","VehBody:VehClass",2.07700470378423
"81","MariStat:VehPriceGrp",2.04386593034403
"82","VehAge:HasKmLimit",2.02454207168779
"83","VehMaxSpeed:Garage",2.01972507568051
"84","MariStat:VehClass",1.95401979427924
"85","MariStat:VehEngine",1.90618524168842
"86","LicAge:VehEngine",1.87922857645503
"87","HasKmLimit:VehClass",1.86029305108103
"88","VehPriceGrp:Garage",1.82653503416856
"89","VehAge:Garage",1.76381526156957
"90","Gender:BonusMalus",1.60389647184755
"91","Gender:VehEnergy",1.53762485976177
"92","HasKmLimit:VehMaxSpeed",1.51178003689324
"93","LicAge:VehPriceGrp",1.38248811422989
"94","MariStat:HasKmLimit",1.34189130400688
"95","VehEngine:Garage",1.33227263961556
"96","HasKmLimit:VehBody",1.2304541127227
"97","VehAge:VehEngine",1.21091323346528
"98","Gender:Garage",1.1876407656161
"99","HasKmLimit:Garage",1.16275479071146
"100","HasKmLimit:BonusMalus",1.03838199933293
"101","VehEnergy:Garage",0.974712799344835
"102","LicAge:Garage",0.942983116181147
"103","Gender:HasKmLimit",0.864514480867115
"104","HasKmLimit:VehPriceGrp",0.623801848442809
"105","HasKmLimit:VehEngine",0.421923531865166
