"","variable","dropout_loss","label"
"1","_full_model_",0,"ranger"
"2","HasKmLimit",98.1917796133856,"ranger"
"3","VehEnergy",113.176338615097,"ranger"
"4","LicAge",125.770613522186,"ranger"
"5","MariStat",132.267222169616,"ranger"
"6","Garage",151.842822256728,"ranger"
"7","VehPriceGrp",181.822882943631,"ranger"
"8","VehEngine",188.313785696687,"ranger"
"9","VehUsage",235.307266353559,"ranger"
"10","Gender",239.879501891263,"ranger"
"11","BonusMalus",250.921967661426,"ranger"
"12","VehClass",270.822504504901,"ranger"
"13","VehBody",275.664645335937,"ranger"
"14","SocioCateg",277.167152057194,"ranger"
"15","DrivAge",314.748221736997,"ranger"
"16","VehMaxSpeed",345.0298282307,"ranger"
"17","VehAge",417.48560250566,"ranger"
"18","_baseline_",769.672057348663,"ranger"
