RecordID,Area,VehPower,VehBrand,VehGas,Region,DrivAgeBand,DensityBand,VehAgeBand,severity_predicted,severity
1,5,3,3,1,0,4,7,1,1294.0573164999983,303.0
1,1,8,3,0,5,3,6,12,2043.5491508719185,1981.84
1,4,0,3,1,0,2,4,0,1636.145397870045,1456.55
1,5,6,3,1,0,3,7,0,1668.8155534654652,5417.0
1,3,6,3,0,20,3,5,13,2542.264650743798,1840.14
1,3,1,3,1,7,1,2,0,1606.1896450348534,1397.97
1,1,3,3,0,1,1,6,14,1527.9091177129355,3048.98
1,1,0,3,1,19,3,6,0,2087.4791638537454,671.05
1,3,7,3,0,2,2,5,0,1902.103526556796,1420.47
1,4,2,0,1,0,3,7,15,2031.164484091746,2975.68
1,2,1,3,1,15,3,5,0,1544.0672188793417,1692.29
1,4,5,3,1,14,5,4,0,1988.0279214243678,422.05
1,5,6,3,1,0,3,7,15,1587.9666463938413,76.22
1,2,5,3,1,2,3,5,1,1395.389954881507,704.18
1,2,5,3,1,14,3,3,0,1534.1904348793469,926.14
1,4,1,3,1,0,0,4,0,2142.104491711588,3365.37
1,2,2,3,1,19,1,5,0,1778.3133721042461,1761.37
1,4,1,3,1,0,3,7,0,1408.6555599284218,553.09
1,4,1,3,1,20,3,4,1,1649.7808643281196,631.36
1,4,3,3,1,0,5,4,9,1780.5732733220734,6467.65
1,5,3,3,1,0,1,7,12,1367.4429170537708,885.28
1,3,0,3,1,19,3,5,0,2044.3694440374811,1878.72
1,4,6,3,1,20,4,7,0,2069.1350460973727,1219.51
1,0,5,3,1,6,3,0,0,1850.8519226552546,3647.26
1,4,0,3,1,14,3,4,0,1403.6017163412544,1183.63
1,3,0,3,1,19,1,5,0,1982.1035527471302,4166.79
1,2,6,3,0,20,3,1,0,1778.2465020438558,395.89
1,3,6,3,1,17,3,2,11,1515.932163865342,5451.29
1,4,0,3,1,20,2,4,0,2117.495387058082,12555.36
1,4,6,3,0,17,3,7,0,2420.827526131999,1551.38
1,5,3,3,1,0,3,7,0,1465.4759396962372,736.895
1,4,1,7,0,20,1,4,13,1437.665464837124,433.89
1,5,7,3,0,0,2,7,0,1681.4329906521557,1746.38
1,3,2,3,1,4,1,5,0,1715.0023221192494,575.19
1,4,3,3,0,20,1,4,12,1463.833872714606,1440.4
1,4,7,3,1,20,2,4,0,2063.307454022826,378.33
1,3,7,3,0,0,2,2,0,1972.434826462038,16093.225
1,4,3,3,1,20,1,4,0,1921.7880630632446,3950.26
1,3,7,0,0,17,3,2,13,1720.7389491751935,600.21
1,3,5,3,1,19,1,5,0,1769.2406474569884,594.76
1,3,2,0,0,14,0,5,15,1697.7219085656345,83.14
1,1,3,10,1,0,3,6,11,1712.531392996194,2031.77
1,5,2,3,1,0,2,7,0,1445.3044821911938,893.56
1,4,1,0,1,0,1,4,13,1469.0932407103755,90.24
1,4,2,6,0,20,2,4,0,1968.5204595457606,83.87
1,4,1,9,0,14,0,4,15,1502.517578373814,587.5
1,2,3,3,0,20,2,5,0,2093.8925003656555,579.14
1,3,1,3,0,6,3,5,9,1814.2256766030478,407.09
1,4,0,0,1,7,2,4,10,1455.5765689247937,647.34
1,2,11,3,1,17,2,3,2,1484.5827322931943,2101.04
