"","IncidentMonth","IncidentWeekOfMonth","IncidentDayOfWeek","Make","IncidentAddressType","DeclarationDayOfWeek","DeclarationMonth","DeclarationWeekOfMonth","DriverGender","DriverMaritalStatus","DriverAge","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound","PolicyNumber","RepairerDetailID","Deductible","DriverRating","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChangeClaim","NumberOfCars","IncidentYear","BasePolicy"
"1","Sep",4,"Monday","Mazda","Urban","Tuesday","Oct",2,"Male","Married",76,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,6084,2,400,2,"more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"2","Mar",3,"Friday","Chevrolet","Rural","Wednesday","Mar",4,"Male","Married",80,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,348,5,400,3,"more than 30","more than 30","none","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"3","Jan",3,"Monday","Pontiac","Urban","Tuesday","Jan",3,"Male","Married",57,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,12078,12,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"4","Jun",4,"Monday","Mazda","Urban","Wednesday","Jun",5,"Male","Married",55,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,13480,11,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1996,"Liability"
"5","Jul",4,"Saturday","Honda","Urban","Thursday","Aug",2,"Male","Married",39,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,1364,10,400,1,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"6","Jan",2,"Sunday","Chevrolet","Urban","Wednesday","Jan",3,"Male","Married",78,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,274,11,400,1,"more than 30","more than 30","1","more than 7","over 65","No","No","External","more than 5","1 year","2 vehicles",1994,"Collision"
"7","Jun",2,"Friday","Mazda","Urban","Friday","Jun",3,"Male","Married",42,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,9151,11,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"Liability"
"8","Apr",3,"Sunday","Pontiac","Urban","Tuesday","Apr",3,"Male","Married",65,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,2911,5,400,3,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"9","Jan",3,"Sunday","Chevrolet","Urban","Wednesday","Jan",3,"Male","Married",53,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,179,5,400,1,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"10","Jul",3,"Wednesday","Mazda","Urban","Wednesday","Aug",1,"Male","Married",37,"Third Party","Sport - Collision","Sport","more than 69000",0,6322,9,400,2,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1995,"Collision"
"11","Sep",1,"Monday","Mazda","Urban","Monday","Sep",1,"Male","Married",39,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,7417,11,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"12","Sep",3,"Tuesday","Mazda","Urban","Friday","Sep",4,"Male","Married",28,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14986,15,400,2,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1996,"Collision"
"13","Nov",2,"Saturday","Mazda","Urban","Monday","Nov",3,"Female","Single",35,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,7918,5,400,4,"more than 30","more than 30","none","6 years","31 to 35","Yes","No","External","3 to 5","1 year","2 vehicles",1995,"All Perils"
"14","Jun",4,"Friday","Ford","Rural","Saturday","Jul",1,"Female","Single",40,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,2739,4,400,2,"more than 30","more than 30","none","4 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"15","Mar",4,"Monday","VW","Urban","Thursday","Mar",5,"Male","Married",64,"Policy Holder","Sedan - Liability","Sport","60000 to 69000",0,14569,16,400,1,"more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1996,"Liability"
"16","Jun",3,"Sunday","Pontiac","Urban","Tuesday","Jun",4,"Male","Married",56,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,7380,7,400,2,"more than 30","more than 30","2 to 4","7 years","51 to 65","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"17","Apr",3,"Wednesday","Chevrolet","Urban","Thursday","Apr",3,"Male","Married",54,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,11078,6,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"18","Mar",5,"Friday","Honda","Urban","Thursday","Apr",1,"Male","Single",34,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,11160,4,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Liability"
"19","Feb",4,"Monday","Pontiac","Urban","Monday","Aug",5,"Female","Married",51,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,265,16,400,2,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"20","Jun",4,"Tuesday","Honda","Urban","Friday","Jun",4,"Male","Married",26,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,4078,16,400,2,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"21","Aug",5,"Wednesday","Toyota","Urban","Monday","Oct",4,"Male","Single",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,7162,10,700,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1995,"Liability"
"22","Jun",4,"Tuesday","Mazda","Urban","Tuesday","Jun",4,"Female","Married",54,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,4462,6,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"23","May",1,"Monday","Pontiac","Urban","Tuesday","May",1,"Male","Single",31,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,4083,1,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"24","Jul",3,"Wednesday","Pontiac","Urban","Friday","Sep",1,"Male","Married",43,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,8328,11,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"25","Oct",4,"Tuesday","Chevrolet","Urban","Tuesday","Oct",4,"Female","Married",39,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,12268,10,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Liability"
"26","Feb",2,"Tuesday","Honda","Urban","Wednesday","Feb",2,"Male","Married",41,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,14130,9,400,3,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","5 to 8",1996,"Liability"
"27","May",3,"Thursday","Mazda","Urban","Thursday","May",3,"Male","Single",44,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,7557,15,400,1,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"28","Nov",1,"Sunday","Toyota","Urban","Monday","Nov",1,"Female","Married",21,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,6320,3,400,3,"more than 30","more than 30","none","5 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"29","Apr",5,"Sunday","Toyota","Urban","Friday","May",1,"Male","Married",46,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,14861,16,400,4,"more than 30","more than 30","none","6 years","41 to 50","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"30","Nov",1,"Friday","Honda","Urban","Friday","Nov",1,"Female","Single",45,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,5545,11,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"Liability"
"31","Jan",2,"Monday","Chevrolet","Urban","Wednesday","Jan",3,"Male","Married",33,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,537,13,400,1,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"32","Aug",2,"Wednesday","Toyota","Urban","Thursday","Aug",3,"Male","Married",38,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",1,5592,14,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"33","Nov",1,"Thursday","Toyota","Urban","Thursday","Nov",1,"Male","Married",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,14574,15,400,4,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"34","May",1,"Saturday","Mazda","Urban","Tuesday","May",2,"Male","Married",51,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,5734,2,400,4,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","1 year","2 vehicles",1994,"All Perils"
"35","Dec",3,"Sunday","Honda","Urban","Monday","Dec",3,"Male","Single",21,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,13191,8,400,4,"more than 30","more than 30","none","5 years","26 to 30","No","No","External","none","no change","1 vehicle",1996,"Collision"
"36","Apr",2,"Monday","Toyota","Urban","Wednesday","Apr",3,"Male","Married",30,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,2989,14,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"37","Jan",4,"Friday","Toyota","Urban","Tuesday","Jan",4,"Male","Married",29,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,3639,8,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"38","Sep",4,"Thursday","Pontiac","Urban","Tuesday","Sep",4,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","less than 20000",0,8065,6,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1995,"Liability"
"39","Feb",2,"Tuesday","Chevrolet","Urban","Wednesday","Feb",2,"Male","Married",28,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,12055,15,400,2,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","1 to 2","4 to 8 years","3 to 4",1996,"Collision"
"40","Oct",1,"Friday","Honda","Rural","Saturday","Oct",2,"Female","Single",41,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,4400,1,400,3,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"41","Nov",4,"Friday","Mazda","Urban","Monday","Nov",4,"Female","Divorced",45,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,4225,4,400,1,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"42","Dec",1,"Tuesday","Honda","Urban","Thursday","Dec",3,"Male","Married",52,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,8408,8,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"43","Sep",5,"Friday","Pontiac","Rural","Monday","Oct",2,"Male","Married",46,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,4893,11,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"44","Jan",1,"Monday","Toyota","Urban","Thursday","Jan",1,"Female","Widow",37,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,6562,6,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"45","Sep",3,"Saturday","Honda","Urban","Wednesday","Sep",4,"Male","Single",28,"Third Party","Sport - Collision","Sport","more than 69000",0,8380,10,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1995,"Collision"
"46","Oct",2,"Monday","Honda","Urban","Tuesday","Oct",2,"Male","Single",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,8868,10,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"47","Dec",2,"Monday","Mazda","Urban","Monday","Dec",2,"Male","Married",34,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,6481,3,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1995,"Collision"
"48","Mar",2,"Friday","Honda","Urban","Friday","Apr",5,"Male","Married",29,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,11480,16,400,2,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1996,"All Perils"
"49","Sep",4,"Tuesday","Mazda","Urban","Wednesday","Sep",5,"Male","Single",33,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,6710,14,400,1,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"50","Jan",3,"Tuesday","Chevrolet","Urban","Thursday","Jan",3,"Male","Married",65,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,6993,4,400,1,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"51","Jun",2,"Friday","Mazda","Urban","Friday","Jun",2,"Male","Married",73,"Third Party","Sport - Collision","Sport","more than 69000",0,12950,14,400,1,"more than 30","more than 30","none","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle",1996,"Collision"
"52","Jul",2,"Sunday","Chevrolet","Urban","Monday","Jul",2,"Male","Married",45,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,15098,14,700,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1996,"All Perils"
"53","May",3,"Monday","Accura","Urban","Wednesday","May",3,"Male","Married",40,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,8085,5,400,4,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","Internal","more than 5","no change","1 vehicle",1995,"Liability"
"54","Aug",4,"Tuesday","Saab","Urban","Wednesday","Aug",4,"Male","Married",38,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,2600,14,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"55","Apr",5,"Sunday","Honda","Urban","Thursday","May",1,"Female","Married",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,9196,15,400,3,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"56","Nov",3,"Wednesday","Mazda","Urban","Thursday","Nov",3,"Male","Married",26,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,5934,1,400,3,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
