Record_ID,feature,feature_value,phi,ML_LC
1,Area,D,118.51840667724609,2954.31787109375
1,VehPower,7,22.946652297973632,2954.31787109375
1,VehBrand,B11,383.1166662597656,2954.31787109375
1,VehGas,Regular,0.7602811431884766,2954.31787109375
1,Region,R24,98.14479331970215,2954.31787109375
1,DrivAgeBand,"(18,25]",492.948172492981,2954.31787109375
1,DensityBand,"(100,200]",139.36114490509033,2954.31787109375
1,VehAgeBand,12,19.84364372253418,2954.31787109375
2,Area,C,-48.622854995727536,2859.41015625
2,VehPower,9,511.28143295288083,2859.41015625
2,VehBrand,B11,436.6361450195312,2859.41015625
2,VehGas,Regular,22.604912948608398,2859.41015625
2,Region,R31,48.78371166229248,2859.41015625
2,DrivAgeBand,"(18,25]",538.5320687484741,2859.41015625
2,DensityBand,"(1e+03,2e+03]",-45.169619483947756,2859.41015625
1,VehAgeBand,9,93.43120384216309,2859.41015625
3,Area,C,-12.393797721862793,2859.41015625
3,VehPower,9,446.6159191513062,2859.41015625
3,VehBrand,B11,377.10418739318845,2859.41015625
3,VehGas,Regular,34.156147422790525,2859.41015625
3,Region,R31,51.96025009155274,2859.41015625
3,DrivAgeBand,"(18,25]",642.8441580963134,2859.41015625
2,DensityBand,"(1e+03,2e+03]",-36.14487575531006,2859.41015625
2,VehAgeBand,9,103.55875988006592,2859.41015625
4,Area,E,48.34950038909912,2854.895263671875
4,VehPower,9,427.29983085632324,2854.895263671875
4,VehBrand,B2,1.0621533966064454,2854.895263671875
4,VehGas,Regular,5.1022946166992185,2854.895263671875
4,Region,R24,88.06369609832764,2854.895263671875
3,DrivAgeBand,"(18,25]",491.5460344696045,2854.895263671875
3,DensityBand,"(400,1e+03]",32.6194372177124,2854.895263671875
3,VehAgeBand,15,21.354823493957518,2854.895263671875
5,Area,B,50.273821640014646,2852.26513671875
5,VehPower,9,567.4752671051025,2852.26513671875
5,VehBrand,B3,179.79301071166992,2852.26513671875
5,VehGas,Regular,19.155712814331054,2852.26513671875
4,Region,R82,4.705318260192871,2852.26513671875
4,DrivAgeBand,"(18,25]",431.2215106201172,2852.26513671875
4,DensityBand,"(1e+03,2e+03]",-10.806562538146972,2852.26513671875
4,VehAgeBand,7,145.96551429748536,2852.26513671875
6,Area,C,-103.19929512023926,2780.810302734375
6,VehPower,9,569.2811006164551,2780.810302734375
6,VehBrand,B3,167.46393310546875,2780.810302734375
5,VehGas,Regular,38.55100723266602,2780.810302734375
5,Region,R24,133.74320602416992,2780.810302734375
5,DrivAgeBand,"(18,25]",543.1163551330567,2780.810302734375
5,DensityBand,"(400,1e+03]",26.335458755493164,2780.810302734375
5,VehAgeBand,13,410.2973496246338,2780.810302734375
7,Area,D,82.04755374908447,2666.00439453125
7,VehPower,9,362.5439525604248,2666.00439453125
6,VehBrand,B1,-41.028308067321774,2666.00439453125
6,VehGas,Regular,7.573274993896485,2666.00439453125
6,Region,R24,81.26179557800293,2666.00439453125
6,DrivAgeBand,"(18,25]",392.1664854812622,2666.00439453125
6,DensityBand,"(1e+03,2e+03]",-28.979092483520507,2666.00439453125
6,VehAgeBand,15,15.255808219909667,2666.00439453125
8,Area,E,49.23053611755371,2648.600830078125
7,VehPower,9,480.4816797637939,2648.600830078125
7,VehBrand,B2,46.40490173339844,2648.600830078125
7,VehGas,Regular,18.33373031616211,2648.600830078125
7,Region,R11,-46.13612289428711,2648.600830078125
7,DrivAgeBand,"(18,25]",384.7546522521973,2648.600830078125
7,DensityBand,"(400,1e+03]",27.98779052734375,2648.600830078125
7,VehAgeBand,13,330.7304216003418,2648.600830078125
8,Area,D,105.03097671508789,2628.441650390625
8,VehPower,6,58.823617973327636,2628.441650390625
8,VehBrand,B2,76.4999817276001,2628.441650390625
8,VehGas,Diesel,0.6746253967285156,2628.441650390625
8,Region,R24,99.34428359985351,2628.441650390625
8,DrivAgeBand,"(18,25]",373.0823881912231,2628.441650390625
8,DensityBand,"(0,50]",165.613522605896,2628.441650390625
8,VehAgeBand,9,60.88882175445556,2628.441650390625
9,Area,C,-22.642659072875976,2490.352294921875
9,VehPower,9,483.3662660598755,2490.352294921875
9,VehBrand,B11,337.0672840118408,2490.352294921875
9,VehGas,Regular,27.35301139831543,2490.352294921875
9,Region,R91,-55.40982036590576,2490.352294921875
9,DrivAgeBand,"(18,25]",498.1655907058716,2490.352294921875
9,DensityBand,"(400,1e+03]",24.402307090759276,2490.352294921875
9,VehAgeBand,8,153.7411169052124,2490.352294921875
10,Area,D,87.45572406768798,2481.8857421875
10,VehPower,10,50.85208515167236,2481.8857421875
10,VehBrand,B11,322.5863927459717,2481.8857421875
10,VehGas,Diesel,-0.2897372817993164,2481.8857421875
10,Region,R93,50.700343704223634,2481.8857421875
10,DrivAgeBand,"(18,25]",378.76658241271974,2481.8857421875
10,DensityBand,"(100,200]",140.2991464996338,2481.8857421875
9,VehAgeBand,10,-36.3310523223877,2481.8857421875
11,Area,C,-51.135164184570314,2463.79638671875
11,VehPower,9,395.50478870391845,2463.79638671875
11,VehBrand,B3,136.70512016296388,2463.79638671875
11,VehGas,Regular,16.65841121673584,2463.79638671875
11,Region,R82,38.85877956390381,2463.79638671875
11,DrivAgeBand,"(18,25]",401.59445713043215,2463.79638671875
10,DensityBand,"(400,1e+03]",22.245381088256835,2463.79638671875
10,VehAgeBand,14,-4.82248737335205,2463.79638671875
12,Area,D,82.85624263763428,2430.779052734375
12,VehPower,9,578.9901393890381,2430.779052734375
12,VehBrand,B11,563.5990355300903,2430.779052734375
12,VehGas,Regular,17.485345726013183,2430.779052734375
12,Region,R52,-166.06857624053956,2430.779052734375
11,DrivAgeBand,"(18,25]",443.40189178466795,2430.779052734375
11,DensityBand,"(200,400]",-163.95602283477783,2430.779052734375
11,VehAgeBand,13,411.0341423034668,2430.779052734375
13,Area,D,67.66460754394531,2426.016357421875
13,VehPower,9,432.32334686279296,2426.016357421875
13,VehBrand,B11,319.55650257110597,2426.016357421875
13,VehGas,Regular,10.910270080566406,2426.016357421875
12,Region,R41,-199.1768963623047,2426.016357421875
12,DrivAgeBand,"(18,25]",522.736005783081,2426.016357421875
12,DensityBand,"(1e+03,2e+03]",-23.422839965820312,2426.016357421875
12,VehAgeBand,12,125.70938064575195,2426.016357421875
14,Area,B,31.12876579284668,2386.116455078125
14,VehPower,9,481.36774265289307,2386.116455078125
14,VehBrand,B3,85.69926574707031,2386.116455078125
13,VehGas,Regular,13.275105895996093,2386.116455078125
13,Region,R24,92.82424880981445,2386.116455078125
13,DrivAgeBand,"(18,25]",519.147116355896,2386.116455078125
13,DensityBand,"(1e+03,2e+03]",-20.59084831237793,2386.116455078125
13,VehAgeBand,14,95.51114711761474,2386.116455078125
15,Area,D,83.1625732421875,2382.00341796875
15,VehPower,9,339.9269481277466,2382.00341796875
14,VehBrand,B2,64.0122265625,2382.00341796875
14,VehGas,Regular,2.977791595458984,2382.00341796875
14,Region,R82,11.33073013305664,2382.00341796875
14,DrivAgeBand,"(18,25]",494.2409774017334,2382.00341796875
14,DensityBand,"(100,200]",70.48833805084229,2382.00341796875
14,VehAgeBand,12,87.42253498077393,2382.00341796875
16,Area,D,111.93892116546631,2375.510986328125
15,VehPower,9,547.03986328125,2375.510986328125
15,VehBrand,B12,-21.921260795593263,2375.510986328125
15,VehGas,Regular,4.67097282409668,2375.510986328125
15,Region,R72,88.41515129089356,2375.510986328125
15,DrivAgeBand,"(18,25]",544.2094868850708,2375.510986328125
15,DensityBand,"(400,1e+03]",30.167534790039063,2375.510986328125
15,VehAgeBand,4,224.30266361236573,2375.510986328125
16,Area,D,84.56103233337403,2301.71826171875
16,VehPower,9,470.0697285079956,2301.71826171875
16,VehBrand,B11,377.30562786102297,2301.71826171875
16,VehGas,Regular,19.484426345825195,2301.71826171875
16,Region,R54,-111.02903289794922,2301.71826171875
16,DrivAgeBand,"(18,25]",495.5490831756592,2301.71826171875
16,DensityBand,"(1e+03,2e+03]",-40.9532075881958,2301.71826171875
16,VehAgeBand,9,170.69821334838866,2301.71826171875
17,Area,D,82.06278373718261,2301.71826171875
17,VehPower,9,583.9810235595703,2301.71826171875
17,VehBrand,B11,374.6733500671387,2301.71826171875
17,VehGas,Regular,19.949427490234374,2301.71826171875
17,Region,R54,-126.84541652679444,2301.71826171875
17,DrivAgeBand,"(18,25]",453.0140813446045,2301.71826171875
17,DensityBand,"(1e+03,2e+03]",-23.97453498840332,2301.71826171875
17,VehAgeBand,9,99.33087448120118,2301.71826171875
18,Area,D,72.2131446838379,2134.42822265625
18,VehPower,9,356.8382206726074,2134.42822265625
18,VehBrand,B3,121.5113903427124,2134.42822265625
18,VehGas,Regular,7.444247436523438,2134.42822265625
18,Region,R52,-69.15107418060303,2134.42822265625
18,DrivAgeBand,"(18,25]",444.7192658424377,2134.42822265625
18,DensityBand,"(1e+03,2e+03]",-15.695788383483887,2134.42822265625
18,VehAgeBand,15,15.636935997009278,2134.42822265625
19,Area,C,7.381570739746094,2123.498046875
19,VehPower,9,344.4239554977417,2123.498046875
19,VehBrand,B11,294.5478996658325,2123.498046875
19,VehGas,Regular,24.779146041870117,2123.498046875
19,Region,R42,-105.95145278930664,2123.498046875
19,DrivAgeBand,"(18,25]",429.1920975112915,2123.498046875
19,DensityBand,"(400,1e+03]",10.85517261505127,2123.498046875
19,VehAgeBand,11,-62.65366012573242,2123.498046875
20,Area,B,40.48896595001221,2108.3857421875
20,VehPower,7,11.428627891540527,2108.3857421875
20,VehBrand,B5,44.082006759643555,2108.3857421875
20,VehGas,Regular,3.171134605407715,2108.3857421875
20,Region,R24,81.71667819976807,2108.3857421875
20,DrivAgeBand,"(18,25]",325.9781864547729,2108.3857421875
20,DensityBand,"(1e+03,2e+03]",-8.496197471618652,2108.3857421875
20,VehAgeBand,13,223.99347370147706,2108.3857421875
21,Area,D,73.76728706359863,2097.702880859375
21,VehPower,9,345.4831881713867,2097.702880859375
21,VehBrand,B1,-65.84310092926026,2097.702880859375
21,VehGas,Regular,3.4998787689208983,2097.702880859375
21,Region,R82,5.679549369812012,2097.702880859375
21,DrivAgeBand,"(18,25]",413.8258633804321,2097.702880859375
21,DensityBand,"(1e+03,2e+03]",7.124721832275391,2097.702880859375
21,VehAgeBand,7,92.99982807159424,2097.702880859375
22,Area,D,78.850146484375,2075.927978515625
22,VehPower,6,63.08793872833252,2075.927978515625
22,VehBrand,B3,112.79931404113769,2075.927978515625
22,VehGas,Diesel,0.6546450424194336,2075.927978515625
22,Region,R24,85.44921531677247,2075.927978515625
22,DrivAgeBand,"(18,25]",399.4362214279175,2075.927978515625
22,DensityBand,"(100,200]",80.04840530395508,2075.927978515625
22,VehAgeBand,9,67.96751747131347,2075.927978515625
23,Area,D,91.72082641601563,2043.9835205078125
23,VehPower,13,-183.68527671813965,2043.9835205078125
23,VehBrand,B11,368.09530990600587,2043.9835205078125
23,VehGas,Regular,9.537155456542969,2043.9835205078125
23,Region,R24,181.72310958862306,2043.9835205078125
23,DrivAgeBand,"(18,25]",674.0755025482177,2043.9835205078125
23,DensityBand,"(0,50]",270.77590480804446,2043.9835205078125
23,VehAgeBand,13,418.3793133926392,2043.9835205078125
24,Area,C,-36.67636810302734,2034.3193359375
24,VehPower,4,-73.0650121307373,2034.3193359375
24,VehBrand,B2,42.486528854370114,2034.3193359375
24,VehGas,Regular,5.378888397216797,2034.3193359375
24,Region,R24,82.84242708206176,2034.3193359375
24,DrivAgeBand,"(18,25]",388.4753561782837,2034.3193359375
24,DensityBand,"(0,50]",153.26088401794433,2034.3193359375
24,VehAgeBand,13,224.04478469848632,2034.3193359375
25,Area,A,-163.01606182098388,2029.2001953125
25,VehPower,9,470.4865763092041,2029.2001953125
25,VehBrand,B4,-4.457853698730469,2029.2001953125
25,VehGas,Regular,2.360942535400391,2029.2001953125
25,Region,R24,82.53524826049805,2029.2001953125
25,DrivAgeBand,"(18,25]",453.62165977478026,2029.2001953125
25,DensityBand,"(0,50]",232.52161743164064,2029.2001953125
25,VehAgeBand,8,86.74230224609374,2029.2001953125
26,Area,D,134.02068717956544,2013.1380615234375
26,VehPower,9,591.4049089050293,2013.1380615234375
26,VehBrand,B3,206.4293417739868,2013.1380615234375
26,VehGas,Regular,34.94795902252197,2013.1380615234375
26,Region,R24,129.95971488952637,2013.1380615234375
26,DrivAgeBand,"(18,25]",610.6551818847656,2013.1380615234375
26,DensityBand,"(100,200]",108.83767581939698,2013.1380615234375
26,VehAgeBand,12,169.8311287689209,2013.1380615234375
27,Area,D,160.93644050598144,1988.923583984375
27,VehPower,6,106.12654972076416,1988.923583984375
27,VehBrand,B3,121.7065994644165,1988.923583984375
27,VehGas,Regular,17.291970520019532,1988.923583984375
27,Region,R24,181.32195812225342,1988.923583984375
27,DrivAgeBand,"(18,25]",500.9933544158936,1988.923583984375
27,DensityBand,"(0,50]",279.6797680282593,1988.923583984375
27,VehAgeBand,13,377.5763775253296,1988.923583984375
28,Area,D,96.04320068359375,1963.5025634765625
28,VehPower,4,-75.60381698608398,1963.5025634765625
28,VehBrand,B2,11.993195075988769,1963.5025634765625
28,VehGas,Regular,7.362030639648437,1963.5025634765625
28,Region,R24,86.74932773590088,1963.5025634765625
28,DrivAgeBand,"(18,25]",411.5551565170288,1963.5025634765625
28,DensityBand,"(100,200]",89.25546272277832,1963.5025634765625
28,VehAgeBand,13,299.5954987335205,1963.5025634765625
29,Area,D,92.48282470703126,1952.68212890625
29,VehPower,9,520.159419555664,1952.68212890625
29,VehBrand,B3,199.1705487060547,1952.68212890625
29,VehGas,Regular,20.9960595703125,1952.68212890625
29,Region,R11,5.818732833862304,1952.68212890625
29,DrivAgeBand,"(18,25]",530.3314826965332,1952.68212890625
29,DensityBand,"(1e+03,2e+03]",-34.9467147064209,1952.68212890625
29,VehAgeBand,4,164.15012763977052,1952.68212890625
31,Area,D,95.7783706665039,1952.4501953125
31,VehPower,9,465.45674942016603,1952.4501953125
31,VehBrand,B1,-65.73712860107422,1952.4501953125
31,VehGas,Regular,9.43228645324707,1952.4501953125
31,Region,R24,144.8113777923584,1952.4501953125
31,DrivAgeBand,"(18,25]",549.1645280456543,1952.4501953125
31,DensityBand,"(0,50]",220.3661183166504,1952.4501953125
31,VehAgeBand,9,79.60584095001221,1952.4501953125
30,Area,D,96.56374633789062,1940.889892578125
30,VehPower,6,-2.112064323425293,1940.889892578125
30,VehBrand,B3,158.12278915405273,1940.889892578125
30,VehGas,Regular,-3.7371889114379884,1940.889892578125
30,Region,R24,131.92069717407227,1940.889892578125
30,DrivAgeBand,"(18,25]",547.1589409255981,1940.889892578125
30,DensityBand,"(100,200]",115.83452575683594,1940.889892578125
30,VehAgeBand,4,176.39343772888185,1940.889892578125
32,Area,D,113.43351028442383,1932.7203369140625
32,VehPower,9,495.6144203186035,1932.7203369140625
32,VehBrand,B2,67.35744262695313,1932.7203369140625
32,VehGas,Regular,13.903424491882324,1932.7203369140625
32,Region,R24,156.60458751678468,1932.7203369140625
32,DrivAgeBand,"(18,25]",631.5008852386475,1932.7203369140625
32,DensityBand,"(0,50]",261.058671875,1932.7203369140625
32,VehAgeBand,12,159.58110527038573,1932.7203369140625
33,Area,D,120.39211277008057,1929.3648681640625
33,VehPower,5,-193.0754615020752,1929.3648681640625
33,VehBrand,B3,102.59721433639527,1929.3648681640625
33,VehGas,Regular,17.2082071685791,1929.3648681640625
33,Region,R24,70.24387325286865,1929.3648681640625
33,DrivAgeBand,"(18,25]",442.29687927246096,1929.3648681640625
33,DensityBand,"(0,50]",248.97419631958007,1929.3648681640625
33,VehAgeBand,13,300.8527990722656,1929.3648681640625
34,Area,C,-56.61162685394287,1908.73388671875
34,VehPower,9,499.7708829498291,1908.73388671875
34,VehBrand,B3,197.0749504852295,1908.73388671875
34,VehGas,Regular,35.48844158172607,1908.73388671875
34,Region,R82,48.327493286132814,1908.73388671875
34,DrivAgeBand,"(18,25]",610.2436749267578,1908.73388671875
34,DensityBand,"(0,50]",145.5034969329834,1908.73388671875
34,VehAgeBand,13,370.7343697738647,1908.73388671875
35,Area,D,92.8666540145874,1898.3328857421875
35,VehPower,9,437.8366958618164,1898.3328857421875
35,VehBrand,B2,55.185373611450196,1898.3328857421875
35,VehGas,Regular,9.319619026184082,1898.3328857421875
35,Region,R24,110.20370407104492,1898.3328857421875
35,DrivAgeBand,"(18,25]",516.9880141067505,1898.3328857421875
35,DensityBand,"(1e+03,2e+03]",10.119314079284669,1898.3328857421875
35,VehAgeBand,12,82.23399971008301,1898.3328857421875
36,Area,E,75.5847843170166,1872.2574462890625
36,VehPower,9,382.3320329284668,1872.2574462890625
36,VehBrand,B3,121.23719161987304,1872.2574462890625
36,VehGas,Regular,2.0450978469848633,1872.2574462890625
36,Region,R24,57.73019554138184,1872.2574462890625
36,DrivAgeBand,"(35,45]",-3.103794746398926,1872.2574462890625
36,DensityBand,"(400,1e+03]",14.157604751586915,1872.2574462890625
36,VehAgeBand,13,278.45036418914793,1872.2574462890625
37,Area,E,14.49768196105957,1865.1761474609375
37,VehPower,9,423.219142036438,1865.1761474609375
37,VehBrand,B11,307.2847689819336,1865.1761474609375
37,VehGas,Regular,15.521445770263671,1865.1761474609375
37,Region,R11,-18.274446716308592,1865.1761474609375
37,DrivAgeBand,"(18,25]",431.4031105041504,1865.1761474609375
37,DensityBand,"(1e+03,2e+03]",-12.314222412109375,1865.1761474609375
37,VehAgeBand,11,-169.19117916107177,1865.1761474609375
38,Area,C,-41.792906265258786,1829.55126953125
38,VehPower,7,-18.0475866317749,1829.55126953125
38,VehBrand,B11,349.3180233001709,1829.55126953125
38,VehGas,Regular,4.122839431762696,1829.55126953125
38,Region,R24,103.54425479888916,1829.55126953125
38,DrivAgeBand,"(18,25]",431.8512890625,1829.55126953125
38,DensityBand,"(0,50]",226.81566276550294,1829.55126953125
38,VehAgeBand,10,-12.55259765625,1829.55126953125
39,Area,E,11.053698196411133,1820.056396484375
39,VehPower,6,18.992004776000975,1820.056396484375
39,VehBrand,B1,-68.80141292572021,1820.056396484375
39,VehGas,Regular,1.7711905670166015,1820.056396484375
39,Region,R82,-5.324910888671875,1820.056396484375
39,DrivAgeBand,"(18,25]",322.73631324768064,1820.056396484375
39,DensityBand,"(400,1e+03]",22.38626029968262,1820.056396484375
39,VehAgeBand,13,191.97498001098631,1820.056396484375
40,Area,B,10.299156227111816,1768.2852783203125
40,VehPower,6,72.866653175354,1768.2852783203125
40,VehBrand,B3,97.61607181549073,1768.2852783203125
40,VehGas,Diesel,-5.318257141113281,1768.2852783203125
40,Region,R24,70.41764743804931,1768.2852783203125
40,DrivAgeBand,"(18,25]",361.33707077026367,1768.2852783203125
40,DensityBand,"(1e+03,2e+03]",-6.861446838378907,1768.2852783203125
40,VehAgeBand,4,161.38037250518798,1768.2852783203125
41,Area,D,84.08598064422607,1763.9742431640625
41,VehPower,5,-151.39894454956055,1763.9742431640625
41,VehBrand,B4,-54.88078830718994,1763.9742431640625
41,VehGas,Regular,6.724558143615723,1763.9742431640625
41,Region,R24,72.23493404388428,1763.9742431640625
41,DrivAgeBand,"(18,25]",348.7443146514893,1763.9742431640625
41,DensityBand,"(0,50]",147.60010662078858,1763.9742431640625
41,VehAgeBand,13,247.16678546905518,1763.9742431640625
42,Area,B,32.66430381774902,1754.90673828125
42,VehPower,6,47.59776676177979,1754.90673828125
42,VehBrand,B3,94.19164806365967,1754.90673828125
42,VehGas,Diesel,-5.300888023376465,1754.90673828125
42,Region,R25,-173.81865421295166,1754.90673828125
42,DrivAgeBand,"(18,25]",275.03958366394045,1754.90673828125
42,DensityBand,"(1e+03,2e+03]",10.64331642150879,1754.90673828125
42,VehAgeBand,13,237.81181369781496,1754.90673828125
43,Area,C,-58.249775924682616,1748.026611328125
43,VehPower,9,332.9806272506714,1748.026611328125
43,VehBrand,B1,-66.03643184661865,1748.026611328125
43,VehGas,Regular,10.039353561401366,1748.026611328125
43,Region,R24,82.36969615936279,1748.026611328125
43,DrivAgeBand,"(18,25]",396.99698093414304,1748.026611328125
43,DensityBand,"(400,1e+03]",25.366409912109376,1748.026611328125
43,VehAgeBand,13,285.36365394592286,1748.026611328125
44,Area,E,56.21644325256348,1740.4173583984375
44,VehPower,7,-22.720047454833985,1740.4173583984375
44,VehBrand,B3,105.6444165802002,1740.4173583984375
44,VehGas,Regular,0.7995838928222656,1740.4173583984375
44,Region,R24,74.81186435699463,1740.4173583984375
44,DrivAgeBand,"(18,25]",354.5266077423096,1740.4173583984375
44,DensityBand,"(400,1e+03]",28.318387145996095,1740.4173583984375
44,VehAgeBand,4,124.18719593048095,1740.4173583984375
45,Area,D,146.86244483947755,1723.44384765625
45,VehPower,9,450.210316696167,1723.44384765625
45,VehBrand,B2,114.93424888610839,1723.44384765625
45,VehGas,Regular,10.85513313293457,1723.44384765625
45,Region,R24,203.32971858978271,1723.44384765625
45,DrivAgeBand,"(18,25]",701.0043995666504,1723.44384765625
45,DensityBand,"(100,200]",121.89923194885255,1723.44384765625
45,VehAgeBand,4,293.63621406555177,1723.44384765625
47,Area,D,59.75056274414062,1713.716552734375
47,VehPower,10,-11.007410316467285,1713.716552734375
47,VehBrand,B11,263.9847786712646,1713.716552734375
47,VehGas,Diesel,4.410136947631836,1713.716552734375
47,Region,R93,26.720631103515625,1713.716552734375
47,DrivAgeBand,"(18,25]",367.5444185638428,1713.716552734375
47,DensityBand,"(100,200]",102.3802262878418,1713.716552734375
47,VehAgeBand,11,-181.8641227722168,1713.716552734375
46,Area,A,-175.71953575134276,1710.3629150390625
46,VehPower,9,470.8762201690674,1710.3629150390625
46,VehBrand,B3,143.14710132598876,1710.3629150390625
46,VehGas,Regular,13.969013671875,1710.3629150390625
46,Region,R24,81.55027534484863,1710.3629150390625
