variable,level,counts,value
Area,C,169878,128.94295145216523
Area,D,169878,166.5196674701923
Area,E,169878,157.11459165454846
Area,A,169878,108.42306801490756
Area,B,169878,133.4480658347065
Area,F,169878,146.1018631515123
VehPower,6,169878,153.5695003713687
VehPower,7,169878,130.22064908722794
VehPower,5,169878,122.7460289235339
VehPower,4,169878,122.68074311790052
VehPower,8,169878,130.911772624278
VehPower,10,169878,143.51002670642166
VehPower,9,169878,290.1593025052217
VehPower,11,169878,131.264847320031
VehPower,12,169878,149.4167532806258
VehPower,13,169878,109.70644189670917
VehPower,15,169878,105.61143529630563
VehPower,14,169878,219.05016831046234
VehBrand,B1,169878,131.17585621162618
VehBrand,B2,169878,151.42625924615447
VehBrand,B12,169878,128.5940124957483
VehBrand,B3,169878,165.41115057817737
VehBrand,B5,169878,149.94142712327306
VehBrand,B6,169878,113.94726065808801
VehBrand,B4,169878,122.40259314624748
VehBrand,B10,169878,159.1824986986169
VehBrand,B11,169878,234.29479959592985
VehBrand,B13,169878,148.75759924278708
VehBrand,B14,169878,67.27981083613638
VehGas,Regular,169878,137.54636992929227
VehGas,Diesel,169878,145.41435647766713
Region,R24,169878,156.8328149069074
Region,R82,169878,149.55886713219118
Region,R93,169878,158.60616218005867
Region,R11,169878,139.12806450388604
Region,R53,169878,130.56828196073803
Region,R52,169878,122.17189261283394
Region,R91,169878,128.26017028321894
Region,R72,169878,162.18298489066234
Region,R31,169878,145.45274688011918
Region,R54,169878,128.1647580246638
Region,R41,169878,116.0678658986002
Region,R73,169878,65.81600666895523
Region,R25,169878,80.4309510201141
Region,R26,169878,146.59170489682353
Region,R22,169878,102.15985816780234
Region,R23,169878,103.19917158708361
Region,R74,169878,136.4503282750938
Region,R83,169878,108.08170916033504
Region,R94,169878,108.35778636957299
Region,R42,169878,92.52877649633126
Region,R21,169878,112.19018041164775
Region,R43,169878,116.40790136897972
DrivAgeBand,"(45,55]",169878,140.4901107901419
DrivAgeBand,"(35,45]",169878,128.14409238385306
DrivAgeBand,"(25,35]",169878,123.68658555735847
DrivAgeBand,"(55,65]",169878,119.91562386307075
DrivAgeBand,"(65,Inf]",169878,139.90035650839857
DrivAgeBand,"(18,25]",169878,316.03147925358695
DrivAgeBand,"(18, 25]",169878,303.76167295791396
DensityBand,"(400,1e+03]",169878,148.64817165931248
DensityBand,"(1e+03,2e+03]",169878,133.5662188925017
DensityBand,"(200,400]",169878,122.8794953779161
DensityBand,"(100,200]",169878,152.09213424768353
DensityBand,"(0,50]",169878,184.82702944245847
DensityBand,"(50,100]",169878,92.38410070060675
VehAgeBand,1,169878,124.97977022972616
VehAgeBand,15+,169878,80.64226543511082
VehAgeBand,2,169878,126.93804428707918
VehAgeBand,3,169878,119.82313106741525
VehAgeBand,4,169878,194.27759541453477
VehAgeBand,5,169878,152.7139312976353
VehAgeBand,10,169878,145.91140502588183
VehAgeBand,6,169878,140.65755264967254
VehAgeBand,7,169878,162.53486086022932
VehAgeBand,8,169878,154.70544148251574
VehAgeBand,9,169878,154.43581091338575
VehAgeBand,11,169878,114.83947638943016
VehAgeBand,12,169878,157.8125230316631
VehAgeBand,0,169878,129.7432898724522
VehAgeBand,13,169878,240.7100364178597
VehAgeBand,14,169878,139.5902243378762
VehAgeBand,15,169878,134.37516328265326
